Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Seating_Capacity,Promotions,Reviews,Monthly_Revenue
295,39.11,2523.26,Italian,26.23,33,1,410.0,44295.5
247,17.78,1518.1,Japanese,26.01,88,0,54.0,24197.28
53,19.39,2598.33,American,58.8,184,0,185.0,8224.35
284,36.94,932.03,Indian,57.31,59,1,386.0,85267.4
227,22.46,1597.32,Indian,47.81,106,0,208.0,48749.95
294,30.95,2135.25,American,11.88,36,0,491.0,30255.44
101,51.6,1463.0,Japanese,15.37,75,0,153.0,8230.62
123,33.15,1935.6,Mexican,14.37,168,1,14.0,12604.23
92,13.61,279.68,American,26.49,31,0,425.0,6024.22
172,35.67,477.98,American,9.46,124,0,1.0,18988.53
288,58.24,2998.74,Mexican,40.41,120,1,33.0,68087.68
197,49.89,1757.71,American,50.08,196,0,352.0,43665.47
246,50.09,545.31,American,30.27,92,0,62.0,43130.97
215,37.68,2351.12,Mexican,28.37,44,0,423.0,31262.67
144,55.27,1766.52,American,23.08,140,0,222.0,31238.74
116,44.53,837.23,Japanese,15.0,52,1,356.0,18399.21
238,13.06,2461.27,Japanese,43.33,110,1,357.0,47842.51
223,42.66,1153.98,Italian,25.81,35,0,147.0,36341.41
149,33.14,340.15,Italian,26.48,165,1,243.0,25206.05
231,19.1,2972.98,Italian,14.39,86,1,409.0,18362.86
63,8.08,813.26,American,19.68,45,1,207.0,4989.0
198,16.4,2429.91,American,52.86,158,1,496.0,50831.25
214,48.41,2891.2,Indian,51.56,89,1,,55941.14
131,20.14,2881.56,Mexican,15.97,137,0,485.0,13468.71
156,31.64,1422.81,Italian,29.53,23,0,397.0,22378.37
270,43.12,927.98,Japanese,51.81,175,1,435.0,75008.65
82,54.82,2697.44,Mexican,16.39,69,1,386.0,9027.18
104,30.68,1164.99,Mexican,27.34,42,0,105.0,11827.39
180,44.25,181.09,American,47.09,136,0,214.0,52242.65
274,46.33,274.86,Italian,54.55,134,1,392.0,81807.88
257,12.21,1753.0,Italian,58.78,134,1,116.0,76491.45
215,31.86,1749.93,Indian,19.4,191,0,71.0,36673.8
48,12.12,2217.12,Japanese,26.98,69,1,206.0,7292.48
201,48.74,1396.55,American,50.55,193,1,267.0,52223.82
99,25.44,595.14,Indian,43.26,80,1,461.0,14786.63
122,54.87,2026.66,American,44.53,142,0,494.0,22842.34
61,57.6,1986.32,Indian,13.61,61,1,90.0,10230.77
288,55.82,883.15,Mexican,13.7,56,0,275.0,23941.4
184,52.88,1482.51,Japanese,10.53,120,0,283.0,7513.65
217,52.51,768.79,American,28.7,197,0,471.0,36792.77
79,11.66,1451.09,Italian,17.72,32,1,341.0,7778.67
151,26.84,1634.8,Italian,32.32,184,1,495.0,34962.28
185,59.41,2079.64,American,29.11,74,0,394.0,25829.24
106,54.75,813.73,American,45.28,33,0,4.0,30265.09
194,56.36,513.49,American,54.67,31,0,86.0,43623.92
34,38.69,1622.1,Italian,46.95,120,1,212.0,15266.01
167,34.36,305.83,Indian,47.22,45,0,156.0,40363.1
198,11.68,2825.21,Japanese,49.56,54,1,118.0,43883.49
89,44.78,2308.31,Italian,31.21,171,0,44.0,21543.46
236,36.55,1424.59,Italian,59.19,132,1,79.0,73166.11
287,57.88,1791.29,Italian,24.88,43,0,50.0,47396.8
46,14.73,2848.54,American,23.62,90,1,351.0,6490.5
100,28.28,2706.05,American,25.42,140,1,183.0,19966.88
215,30.68,2390.47,Italian,25.95,44,0,246.0,33240.07
24,28.49,2231.39,Mexican,54.94,143,1,407.0,3090.33
124,11.41,1290.3,Mexican,46.81,194,0,243.0,22607.9
155,45.11,2714.19,Indian,56.31,77,1,327.0,43098.73
254,39.73,2587.85,Indian,43.4,45,0,85.0,59821.23
132,40.48,1559.08,American,15.12,183,1,295.0,17022.41
278,12.59,1830.04,Italian,25.33,168,0,15.0,34985.81
92,21.15,536.09,Mexican,24.76,167,1,213.0,11622.75
24,22.32,1689.9,Italian,45.88,34,0,449.0,3517.87
20,12.04,2108.17,Indian,58.67,137,1,315.0,8177.51
200,44.44,969.0,Indian,54.55,131,1,226.0,62408.61
133,20.68,1636.67,Italian,48.76,28,1,262.0,36829.31
40,36.23,2071.59,Indian,36.59,135,0,415.0,16165.39
144,45.8,323.19,Mexican,23.34,101,1,462.0,29871.27
51,17.9,1626.16,Mexican,26.68,143,0,439.0,5798.9
69,54.12,1642.01,Italian,32.23,154,0,207.0,25313.36
254,36.68,1680.86,Mexican,12.1,199,0,71.0,28280.49
170,23.06,1012.93,Japanese,24.2,179,1,35.0,24439.28
178,43.08,1027.71,Mexican,30.04,110,0,219.0,31523.84
134,53.96,520.41,Mexican,25.5,48,1,430.0,25109.33
182,12.24,337.78,Indian,28.04,23,1,49.0,23524.97
104,54.16,1331.0,Italian,24.79,40,1,287.0,14228.69
99,13.31,1566.48,Mexican,33.46,179,1,178.0,17311.16
20,43.51,2863.7,Japanese,45.81,116,0,311.0,4147.97
246,38.28,2064.32,Japanese,27.31,23,1,339.0,26519.32
183,56.13,839.06,American,31.37,39,0,121.0,36246.75
139,36.5,395.52,American,13.4,23,1,318.0,4299.33
138,54.1,1727.11,American,11.37,66,0,130.0,14756.06
176,35.08,363.05,Italian,41.15,52,1,198.0,37632.99
193,48.11,1143.93,Mexican,49.65,185,0,110.0,46184.16
234,47.0,2898.56,Italian,39.5,100,1,234.0,56250.5
107,59.75,1645.22,American,22.16,168,0,495.0,12328.3
263,17.65,2225.99,American,35.34,97,1,17.0,42648.25
31,21.71,2655.08,Italian,26.72,40,0,441.0,6656.61
113,31.73,733.76,American,14.42,48,0,478.0,11686.29
190,47.38,2997.13,Italian,28.75,154,1,199.0,30153.26
270,11.07,2126.75,Japanese,14.58,100,0,276.0,16839.81
186,25.02,1874.95,American,27.64,31,0,214.0,22902.27
110,52.42,633.85,Italian,53.91,160,0,152.0,32329.65
165,33.87,952.86,American,39.7,41,0,257.0,35202.03
164,29.18,615.79,Japanese,8.35,169,1,128.0,14864.98
91,59.71,435.63,Indian,49.76,129,0,,24008.52
138,56.99,502.72,Japanese,40.57,73,0,188.0,26983.13
76,34.38,1378.84,American,58.21,89,1,193.0,26478.19
265,10.52,1572.93,Mexican,50.53,35,0,472.0,73190.87
280,25.1,1137.21,Mexican,11.62,21,1,491.0,29288.03
274,56.52,1598.58,Mexican,40.44,78,0,91.0,55722.5
194,22.84,2587.05,Italian,35.51,84,1,224.0,40014.38
87,50.88,903.17,Japanese,50.75,93,0,120.0,22790.25
260,27.77,796.43,American,37.44,117,0,195.0,47566.34
235,41.95,874.87,Mexican,52.48,50,1,271.0,64584.04
192,25.7,1236.35,Indian,58.44,133,1,0.0,52665.84
51,12.75,2728.72,Japanese,46.09,127,1,74.0,5193.14
60,15.03,91.33,American,32.72,192,1,462.0,12573.39
142,43.31,2027.39,Mexican,34.99,48,1,221.0,23900.1
207,30.37,1806.16,Mexican,26.07,39,1,166.0,28141.43
275,26.71,569.31,American,20.8,181,0,290.0,29176.63
48,48.87,487.83,American,41.73,124,0,236.0,11387.52
27,35.01,2655.07,Japanese,39.33,152,0,262.0,4404.56
63,32.33,2560.55,American,33.77,71,0,,10616.75
153,54.27,111.38,Indian,28.23,154,0,492.0,24157.11
233,27.36,2140.03,American,52.48,161,0,498.0,59778.13
109,42.82,2473.28,Japanese,15.32,59,0,471.0,13983.9
200,13.03,2068.65,American,23.79,144,1,318.0,31795.2
109,33.23,2779.71,Italian,52.13,45,1,327.0,32983.49
41,27.58,1389.42,Japanese,22.17,125,1,63.0,3269.81
122,27.26,1913.78,Mexican,19.1,20,0,440.0,16326.2
127,56.76,2722.13,Indian,20.87,73,1,191.0,23247.91
185,44.41,740.85,Mexican,19.02,21,1,162.0,20809.67
88,11.34,773.14,Japanese,46.64,193,1,252.0,18296.15
170,51.71,503.15,Italian,15.36,189,1,133.0,9195.45
52,52.68,2779.56,American,28.09,47,0,468.0,16448.27
246,12.16,2835.65,Mexican,47.54,76,1,446.0,58449.45
30,28.99,795.55,Japanese,59.7,74,1,214.0,16394.67
183,16.23,933.68,Italian,28.06,125,0,41.0,17851.33
58,25.96,2380.95,American,10.9,183,1,443.0,500.0
132,8.03,2233.52,American,13.92,114,0,117.0,10704.7
20,40.01,412.21,Mexican,23.87,90,0,17.0,500.0
102,18.94,1639.76,Japanese,59.62,73,0,320.0,29703.13
282,50.68,1949.9,Indian,30.31,185,1,246.0,48350.18
278,57.63,554.91,American,18.92,139,0,68.0,39619.89
34,20.82,398.72,Indian,25.23,123,1,366.0,3917.03
194,57.19,648.42,Mexican,45.96,183,1,459.0,50471.49
97,44.77,193.83,Mexican,30.82,169,0,238.0,19248.29
189,49.18,882.64,Japanese,21.87,27,0,320.0,24279.82
174,40.62,1993.57,American,38.5,152,1,134.0,35483.73
123,43.87,2994.29,Japanese,25.82,121,1,389.0,26339.18
294,39.49,1673.28,Japanese,16.63,131,0,258.0,31041.74
43,44.03,1051.91,American,14.5,160,0,186.0,5787.17
203,17.33,1628.56,American,48.52,143,1,205.0,51523.04
227,37.42,103.35,American,46.27,179,1,31.0,56328.24
277,29.23,144.13,American,58.79,124,0,135.0,79308.68
123,8.4,817.72,Indian,46.98,111,1,100.0,37338.0
62,36.86,1105.9,Italian,32.8,145,1,190.0,17270.42
67,50.33,502.38,Italian,16.88,179,0,181.0,1741.25
104,11.56,2893.37,American,52.79,153,1,32.0,16557.85
220,25.76,2762.42,Japanese,29.95,93,0,37.0,29745.11
194,50.31,833.73,Indian,45.21,37,0,474.0,35517.29
47,17.01,96.83,Italian,16.78,171,1,365.0,500.0
226,42.34,728.36,American,49.53,61,1,155.0,55190.57
170,48.52,924.7,American,47.43,187,1,223.0,40082.91
136,25.72,1744.57,Indian,46.59,138,0,196.0,31733.54
109,13.01,1176.4,Mexican,8.45,197,1,255.0,8339.63
137,14.56,2382.4,Italian,53.93,54,1,180.0,47072.69
209,16.58,232.01,American,27.95,184,1,397.0,27236.51
50,44.31,552.11,Japanese,20.09,194,0,290.0,4335.6
126,59.94,483.94,American,19.1,54,1,468.0,19075.83
96,50.55,1341.1,Japanese,16.34,91,1,391.0,17618.99
269,41.91,2831.95,Indian,15.74,51,0,86.0,26763.74
268,33.91,2338.34,American,59.53,47,1,218.0,77753.98
108,53.87,,Indian,38.0,89,1,361.0,12061.21
175,51.82,1041.28,American,14.45,138,0,462.0,22943.63
37,32.97,2337.86,Japanese,42.54,168,1,423.0,8565.05
72,49.89,342.71,Italian,37.41,56,0,463.0,22866.4
24,49.09,1436.7,Japanese,50.52,102,0,22.0,15581.9
109,42.02,1260.85,Mexican,28.19,42,1,145.0,27522.89
241,15.31,488.09,Japanese,37.48,156,0,315.0,45074.87
121,20.19,726.1,Mexican,19.29,21,0,30.0,16576.54
274,22.52,1050.07,Japanese,34.14,127,1,19.0,42846.86
243,56.15,1773.33,Japanese,28.79,71,1,2.0,46247.94
78,50.58,1367.63,American,45.54,154,0,455.0,17570.17
23,43.63,1055.87,Mexican,48.6,70,0,345.0,11350.09
268,33.37,2364.74,Italian,30.13,141,1,436.0,43272.03
251,35.75,1382.73,American,12.19,159,1,21.0,20622.64
82,10.88,749.76,Indian,54.35,37,1,208.0,18222.27
20,36.1,795.46,Mexican,11.05,151,1,252.0,10906.62
140,12.26,1517.13,Indian,55.95,139,0,320.0,36520.11
99,36.39,2834.52,Italian,34.57,28,1,335.0,15114.62
265,32.53,1835.11,American,33.12,88,0,183.0,43306.63
120,41.69,2903.62,American,21.45,50,0,23.0,9373.3
64,16.84,292.53,Indian,55.0,179,0,289.0,22443.88
161,17.52,235.47,Japanese,44.04,57,0,272.0,39531.73
116,9.46,2009.03,Indian,47.23,60,0,397.0,26201.48
136,59.63,2195.52,Indian,51.69,72,0,436.0,39196.18
75,39.95,2506.24,Mexican,12.28,124,0,40.0,500.0
202,24.44,1287.47,Indian,49.67,143,0,121.0,55124.12
255,31.52,482.71,Mexican,28.04,47,0,178.0,37491.94
213,22.13,464.72,Mexican,10.77,59,0,84.0,23748.19
251,25.29,2470.85,Italian,30.59,193,1,143.0,38805.86
75,56.55,683.63,Mexican,48.03,199,0,87.0,21555.77
239,34.47,1133.84,American,42.81,35,1,12.0,58493.04
